date_jst,BTC,GOLD,US10Y,SP500
2022-09-13 09:00:00+09:00,1.026732,-0.836614,1.049551,1.401517
2022-09-14 09:00:00+09:00,1.586612,-1.135976,0.874103,2.017326
2022-09-15 09:00:00+09:00,1.391655,-1.307457,0.765912,1.786577
2022-09-16 09:00:00+09:00,1.839111,-1.244822,0.789006,1.666908
2022-09-17 09:00:00+09:00,1.465569,-1.234793,0.788593,1.669680
2022-09-18 09:00:00+09:00,1.238384,-1.224858,0.788630,1.674440
2022-09-19 09:00:00+09:00,1.235684,-1.252552,0.855802,1.390070
2022-09-20 09:00:00+09:00,1.235939,-1.293362,0.317385,1.233283
2022-09-21 09:00:00+09:00,0.844454,-1.179359,0.271850,0.801134
2022-09-22 09:00:00+09:00,1.042425,-1.125349,-0.054083,0.188236
2022-09-23 09:00:00+09:00,0.936766,-1.323740,-0.016474,-0.078200
2022-09-24 09:00:00+09:00,0.948889,-1.312541,-0.013832,-0.072070
2022-09-25 09:00:00+09:00,0.978451,-1.260621,0.148699,-0.019278
2022-09-26 09:00:00+09:00,1.209612,-1.403314,-0.356384,0.144418
2022-09-27 09:00:00+09:00,1.215755,-1.336353,-0.763278,0.125671
2022-09-28 09:00:00+09:00,1.386523,-0.981484,-0.353380,0.587025
2022-09-29 09:00:00+09:00,1.568303,-0.950569,-0.772904,0.071809
2022-09-30 09:00:00+09:00,1.519811,-0.911845,-0.837714,-0.167355
2022-10-01 09:00:00+09:00,1.454384,-0.905199,-0.830991,-0.165360
2022-10-02 09:00:00+09:00,1.103090,-0.898797,-0.824337,-0.163655
2022-10-03 09:00:00+09:00,1.268643,-0.353693,-0.594655,0.219269
2022-10-04 09:00:00+09:00,1.358850,0.107568,-0.295641,0.651649
